WELL,INTERVAL,TVDSS_TOP,TVDSS_BASE,GROSS,NET,NET_TO_GROSS,PHIT_AV,SWT_AV,PERM_BASE_AM
,,METRES,METRES,METRES,METRES,M/M,V/V,V/V,MD
MINERVA_2A,,1534.49,2143.45,608.959,200.579,0.329,0.204,0.577,3898.329
MUSSEL_1,88_BASE C. STRIATOCONUM,1979.72,2053.72,74,2.438,0.033,0.123,1,0.253
MUSSEL_1,90.8_UPPER WAARRE,2053.72,2126.82,73.1,62.948,0.861,0.186,0.979,199.384
MUSSEL_1,93_LOWER WAARRE,2126.82,2419.82,293,30.931,0.106,0.123,0.947,11.716
MUSSEL_1,,1979.72,2419.82,440.1,96.317,0.219,0.164,0.972,134.076
PRAWN_A1,83.5_UPP THYLACINE MBR,1957.67,2053.57,95.9,61.019,0.636,0.218,0.962,131.097
PRAWN_A1,83.8_MID THYLACINE MBR,2053.57,2183.07,129.5,29.83,0.23,0.21,0.921,83.177
PRAWN_A1,86_FLAXMAN,2183.07,2202.27,19.2,4.858,0.253,0.154,0.901,409252.126
PRAWN_A1,88_BASE C. STRIATOCONUM,2202.27,2488.27,286,115.214,0.403,0.154,0.933,3.375
PRAWN_A1,90.8_UPPER WAARRE,2488.27,2748.37,260.1,102.108,0.393,0.125,0.823,3.849
PRAWN_A1,93_LOWER WAARRE,2748.37,2893.67,145.3,42.062,0.289,0.108,0.575,3.667
PRAWN_A1,,1957.67,2893.67,936,355.092,0.379,0.156,0.883,5630.883
SOMERSET_1,83.5_UPP THYLACINE MBR,2795.75,2804.44,8.698,3.799,0.437,0.163,1,7.26
SOMERSET_1,83.8_MID THYLACINE MBR,2804.44,2821.14,16.697,12.998,0.778,0.14,1,1.481
SOMERSET_1,88_BASE C. STRIATOCONUM,2821.14,2890.23,69.086,2.599,0.038,0.168,1,6.657
SOMERSET_1,,2795.75,2890.23,94.481,19.396,0.205,0.148,1,3.306
THYLACINE_1,83.5_UPP THYLACINE MBR,2023.1,2092.32,69.216,12.024,0.174,0.184,0.345,7.279
THYLACINE_1,83.8_MID THYLACINE MBR,2092.32,2133.98,41.66,19.185,0.461,0.163,0.47,2.478
THYLACINE_1,88_BASE C. STRIATOCONUM,2133.98,2247.49,113.514,37.309,0.329,0.185,0.336,382.822
THYLACINE_1,90.8_UPPER WAARRE,2247.49,2398.13,150.633,97.751,0.649,0.166,0.733,131.174
THYLACINE_1,93_LOWER WAARRE,2398.13,2678.23,280.106,78.81,0.281,0.142,0.99,6.304
THYLACINE_1,,2023.1,2678.23,655.129,245.079,0.374,0.161,0.694,113.175
